Transaction_ID,Customer_Name,Customer_Email,Product,Category,Quantity,Unit_Price,Total_Price,Transaction_Date,Store_Location,Payment_Method,,,
T000034,Michael Murray,jbrown@jordan.net,Mouse,Electronics,4.00,$758.06,3032.24,9/24/2023,Liverpool,Debit Card,,,
T000035,James Weaver,smercer@yahoo.com,Smartphone,Accessories,3.00,$182.91,548.73,8/16/2023,Edinburgh,Online Payment,,,
T000036,Blake Gutierrez,uramsey@randall.info,Mouse,Accessories,7.00,$325.93,2281.51,3/16/2023,Manchester,Debit Card,,,
T000037,Patrick Nguyen,annsolis@rivera-ramos.biz,Tablet,Electronics,8.00,$788.06,6304.48,7/12/2023,London,Credit Card,,,
T000038,Melissa Moore,melissa01@jarvis-gray.com,Mouse,Electronics,1.00,$294.51,294.51,9/18/2023,Manchester,Online Payment,,,
T000039,Dr. Autumn Rosario,berrystacy@conway.biz,Headphones,Electronics,5.00,$269.00,1345.00,9/21/2024,Liverpool,Online Payment,,,
T000040,Kayla Williams,hessjessica@gmail.com,Tablet,Electronics,5.00,$921.70,4608.50,3/12/2023,London,Debit Card,,,
T000041,Jonathan Hill,coledaniel@yahoo.com,Monitor,Accessories,2.00,$62.57,125.14,5/8/2023,London,Online Payment,,,
T000042,Janet Harris,alejandro67@gmail.com,Mouse,Accessories,3.00,$128.09,384.27,3/20/2024,Edinburgh,Debit Card,,,
T000043,Marcus Cruz,williamgordon@hotmail.com,Monitor,Accessories,5.00,$838.14,4190.70,12/1/2023,Manchester,Cash,,,
T000044,Charles Wilson,orobinson@johnston-le.com,Headphones,Electronics,3.00,$353.33,1059.99,6/24/2024,Manchester,Cash,,,
T000045,Allison Thomas,tinaphelps@hotmail.com,Smartphone,Accessories,8.00,$67.88,543.04,8/8/2024,Liverpool,Cash,,,
T000046,Jared Deleon,dwebb@hotmail.com,Keyboard,Accessories,4.00,$313.82,1255.28,9/18/2023,Manchester,Debit Card,,,
T000047,Frances Sims,kathrynjefferson@hall-mercado.org,Tablet,Electronics,1.00,$802.93,802.93,12/31/2024,Manchester,Online Payment,,,
T000048,Timothy Gutierrez,ocruz@crosby-huang.com,Mouse,Electronics,10.00,$930.19,9301.90,6/10/2024,Liverpool,Credit Card,,,
T000049,Joseph Ortiz,kimberly40@yahoo.com,Tablet,Accessories,10.00,$854.94,8549.40,4/25/2024,Birmingham,Online Payment,,,
T000050,Teresa Garcia,michealmaxwell@hotmail.com,Headphones,Electronics,8.00,$565.14,4521.12,11/29/2024,Edinburgh,Credit Card,,,
T000051,Clinton Miller,msmith@long.biz,Mouse,Electronics,9.00,$505.76,4551.84,6/10/2024,Edinburgh,Cash,,,
T000052,Raven Williams DVM,margarettorres@roberts-fletcher.com,Smartphone,Electronics,2.00,$140.89,281.78,12/28/2024,London,Debit Card,,,
T000053,Mary Johns,randalldudley@kelly-harrison.com,Monitor,Electronics,3.00,$305.90,917.70,2/13/2023,Liverpool,Debit Card,,,
T000054,Wendy Barnes,fullerdaniel@sullivan.info,Keyboard,Accessories,9.00,$357.84,3220.56,10/10/2023,Liverpool,Debit Card,,,
T000055,Alison Smith,russellhannah@hotmail.com,Tablet,Electronics,9.00,$638.45,5746.05,10/30/2023,Birmingham,Online Payment,,,
T000056,Anthony Allen,brandymiller@bowman.com,Mouse,Accessories,4.00,$520.39,2081.56,2/24/2023,Edinburgh,Credit Card,,,
T000057,Brandon Smith,madisonwhitaker@collins.com,Smartphone,Electronics,6.00,$722.26,4333.56,2/7/2024,London,Debit Card,,,
T000058,Christopher Collins,jenniferweaver@gmail.com,Tablet,Electronics,7.00,$94.67,662.69,12/3/2023,Edinburgh,Online Payment,,,
T000059,Mr. Gregory Weber,wreed@melton-chen.com,Headphones,Accessories,9.00,$824.30,7418.70,12/25/2024,London,Cash,,,
T000060,Jason Woods,fsantos@yahoo.com,Monitor,Accessories,1.00,$229.82,229.82,3/7/2024,Liverpool,Cash,,,
T000061,Amber Stanley,mistycastro@hotmail.com,Monitor,Accessories,8.00,$486.58,3892.64,3/12/2024,Birmingham,Cash,,,
T000062,Vincent Chavez,loriprice@gmail.com,Laptop,Electronics,8.00,$644.94,5159.52,3/30/2024,Liverpool,Debit Card,,,
T000063,Steven Randolph,spencer62@hotmail.com,Headphones,Accessories,8.00,$230.60,1844.80,7/7/2023,Liverpool,Online Payment,,,
T000064,Leah Pitts,juliagarza@gmail.com,Smartphone,Accessories,4.00,$145.21,580.84,3/5/2023,London,Cash,,,
T000065,Katie Gomez,sdixon@gmail.com,Tablet,Electronics,4.00,$722.70,2890.80,1/13/2025,Liverpool,Online Payment,,,
T000066,Michael Foster,michael09@estrada.biz,Monitor,Electronics,5.00,$982.87,4914.35,12/31/2024,Birmingham,Cash,,,
T000067,Robert West,karenbrown@hotmail.com,Mouse,Accessories,5.00,$502.73,2513.65,5/11/2023,Manchester,Debit Card,,,
T000068,Deborah Anderson,michaelgarcia@jensen.org,Laptop,Accessories,9.00,$271.97,2447.73,6/23/2024,Manchester,Credit Card,,,
T000069,Phillip Garza,amberrichardson@yahoo.com,Tablet,Accessories,8.00,$318.96,2551.68,1/30/2023,Liverpool,Cash,,,
T000070,Joseph Lopez,pbaker@lee.info,Keyboard,Electronics,7.00,$945.59,6619.13,8/23/2023,Liverpool,Credit Card,,,
T000071,Christina Maldonado,swansonjulie@yahoo.com,Headphones,Electronics,2.00,$990.82,1981.64,1/14/2024,Edinburgh,Cash,,,
T000072,Nicole Rios,mstewart@hotmail.com,Tablet,Accessories,5.00,$477.81,2389.05,3/20/2024,Manchester,Cash,,,
T000073,Steven Woods,gibsonnatalie@schwartz.org,Laptop,Electronics,1.00,$961.21,961.21,11/25/2023,London,Credit Card,,,
T000074,Jacob Berry,samuel75@lindsey.biz,Laptop,Accessories,10.00,$840.38,8403.80,3/3/2024,Manchester,Cash,,,
T000075,James Smith,trujillolisa@alexander.biz,Keyboard,Electronics,2.00,$374.91,749.82,1/30/2024,Manchester,Cash,,,
T000076,Katelyn Williams,destiny10@gmail.com,Headphones,Accessories,3.00,$895.28,2685.84,12/23/2024,Manchester,Credit Card,,,
T000077,Connie Andrade,leepaul@yahoo.com,Tablet,Electronics,6.00,$300.67,1804.02,4/12/2024,Edinburgh,Online Payment,,,
T000078,Nichole Campbell,riosdustin@hotmail.com,Smartphone,Electronics,2.00,$110.77,221.54,10/6/2024,London,Cash,,,
T000079,Joseph Santos MD,christopher95@jones-walker.com,Mouse,Electronics,7.00,$711.07,4977.49,5/5/2024,Birmingham,Credit Card,,,
T000080,Jennifer Mcdonald,kruegeralexander@downs.com,Laptop,Electronics,6.00,$619.22,3715.32,9/14/2023,Liverpool,Credit Card,,,
T000081,Tyrone Jones,brandonpennington@martin-ortega.com,Laptop,Accessories,2.00,$347.85,695.70,7/3/2024,Birmingham,Debit Card,,,
T000082,Terry Johnson,daniel72@day.biz,Smartphone,Electronics,9.00,$70.19,631.71,12/4/2023,Liverpool,Debit Card,,,
T000083,Wyatt Miller,natasha03@gmail.com,Monitor,Electronics,6.00,$364.19,2185.14,10/14/2024,Manchester,Debit Card,,,
T000084,Pamela Ward,garciamitchell@yahoo.com,Laptop,Accessories,6.00,$217.34,1304.04,8/25/2024,Edinburgh,Credit Card,,,
T000085,Benjamin Fleming,adrian84@yahoo.com,Tablet,Electronics,4.00,$790.69,3162.76,9/21/2023,London,Credit Card,,,
T000086,Ian Lang,amoon@gmail.com,Mouse,Electronics,8.00,$528.74,4229.92,3/21/2023,Edinburgh,Debit Card,,,
T000087,Dan Tucker,elliottgina@evans.com,Monitor,Electronics,9.00,$391.93,3527.37,3/29/2023,Manchester,Online Payment,,,
T000088,Jeffrey Reynolds,johnny77@hotmail.com,Smartphone,Electronics,1.00,$793.99,793.99,7/15/2023,Liverpool,Online Payment,,,
T000089,Michael Harris,thill@henderson.net,Tablet,Accessories,10.00,$110.00,1100.00,6/18/2024,Edinburgh,Cash,,,
T000090,John Murphy,istevens@english.org,Tablet,Accessories,2.00,$785.90,1571.80,7/15/2024,Edinburgh,Online Payment,,,
T000091,Christopher Gonzalez,bhudson@lewis.com,Keyboard,Electronics,3.00,$501.05,1503.15,10/31/2023,London,Credit Card,,,
T000092,Lynn Cox,martinezkeith@neal.com,Laptop,Accessories,10.00,$571.12,5711.20,3/27/2023,Liverpool,Online Payment,,,
T000093,Jacqueline Gates,samantha15@hotmail.com,Smartphone,Electronics,4.00,$826.45,3305.80,11/18/2023,Edinburgh,Online Payment,,,
T000094,Christopher Ball,qsmith@hotmail.com,Smartphone,Electronics,6.00,$363.19,2179.14,7/10/2023,Edinburgh,Online Payment,,,
T000095,Veronica Woods,christine24@hotmail.com,Tablet,Electronics,1.00,$249.31,249.31,4/1/2024,Liverpool,Credit Card,,,
T000096,Lisa Collins,johnkline@andersen-gomez.net,Monitor,Accessories,2.00,$99.57,199.14,4/4/2023,Birmingham,Online Payment,,,
T000097,Joel Freeman,gina30@oconnor.com,Keyboard,Accessories,1.00,$263.55,263.55,4/5/2024,Manchester,Debit Card,,,
T000098,Tammy Graham,sherryjohnson@yahoo.com,Laptop,Accessories,5.00,$742.12,3710.60,1/30/2023,London,Cash,,,
T000099,Andrea Walker,kennethrios@yahoo.com,Keyboard,Accessories,8.00,$696.82,5574.56,2/12/2024,Edinburgh,Online Payment,,,
T000100,Tara Allen,joshua72@gmail.com,Smartphone,Accessories,6.00,$870.66,5223.96,9/26/2023,Birmingham,Debit Card,,,
T000101,Ryan Lee,amy66@cole-owens.org,Laptop,Accessories,1.00,$44.01,44.01,1/19/2023,Liverpool,Cash,,,
T000102,Bryce Graham,david58@hotmail.com,Laptop,Electronics,5.00,$435.16,2175.80,4/15/2023,Liverpool,Debit Card,,,
T000103,Patricia Stone,fisherallison@hotmail.com,Mouse,Accessories,10.00,$28.35,283.50,12/7/2023,Manchester,Credit Card,,,
T000104,Cheryl Ross,colleenperez@heath.net,Tablet,Electronics,2.00,$233.83,467.66,3/15/2024,Manchester,Credit Card,,,
T000105,Charles Williams,enorton@holt.com,Smartphone,Electronics,8.00,$771.60,6172.80,2/7/2023,Birmingham,Debit Card,,,
T000106,Charles Mckinney,twang@haas-ayala.biz,Monitor,Electronics,2.00,$488.30,976.60,7/17/2024,Birmingham,Debit Card,,,
T000107,Eric Brown,marysmith@yahoo.com,Monitor,Accessories,4.00,$309.73,1238.92,10/20/2024,Edinburgh,Debit Card,,,
T000108,Tiffany Hammond,stevencox@hotmail.com,Smartphone,Electronics,1.00,$381.44,381.44,6/11/2023,London,Online Payment,,,
T000109,Joel Chapman,allenmegan@yahoo.com,Keyboard,Electronics,9.00,$880.75,7926.75,4/12/2024,London,Cash,,,
T000110,Jacqueline Daniels,fmoore@gmail.com,Mouse,Electronics,3.00,$269.06,807.18,12/18/2023,Manchester,Online Payment,,,
T000111,Tonya Miller,peter27@pineda.com,Keyboard,Accessories,10.00,$929.47,9294.70,12/10/2023,Liverpool,Debit Card,,,
T000112,Elizabeth Phillips,johnodonnell@gmail.com,Mouse,Accessories,5.00,$502.82,2514.10,1/5/2025,Birmingham,Online Payment,,,
T000113,Monica Herrera,barnettjuan@rodriguez-payne.com,Laptop,Accessories,5.00,$871.65,4358.25,2/10/2024,Edinburgh,Credit Card,,,
T000114,Diane Graves,ajarvis@escobar-key.biz,Laptop,Electronics,2.00,$886.08,1772.16,9/13/2024,Edinburgh,Debit Card,,,
T000115,Jessica Fischer,ymoore@hotmail.com,Headphones,Electronics,5.00,$397.67,1988.35,10/17/2023,Edinburgh,Debit Card,,,
T000116,Brian Miles,paigesmith@erickson.info,Headphones,Electronics,7.00,$609.37,4265.59,8/5/2024,London,Debit Card,,,
T000117,David Brown,colin53@gmail.com,Keyboard,Electronics,6.00,$168.08,1008.48,10/27/2023,Edinburgh,Cash,,,
T000118,Amanda Alvarez,oburns@torres-oneill.com,Tablet,Electronics,3.00,$51.04,153.12,3/12/2023,Edinburgh,Online Payment,,,
T000119,Michael Patterson,jbolton@hotmail.com,Headphones,Electronics,4.00,$623.61,2494.44,2/6/2023,London,Debit Card,,,
T000120,Jessica Harper,andersonrobert@chavez.biz,Keyboard,Electronics,5.00,$700.61,3503.05,1/31/2024,Edinburgh,Online Payment,,,
T000121,Daniel Skinner,waderobert@holmes-johnson.com,Monitor,Electronics,3.00,$358.26,1074.78,4/11/2024,London,Credit Card,,,
T000122,Veronica Garner,markgriffith@gmail.com,Headphones,Electronics,1.00,$688.66,688.66,6/8/2023,Manchester,Debit Card,,,
T000123,Jessica Graham,michaelhines@hotmail.com,Tablet,Accessories,7.00,$623.17,4362.19,10/27/2023,London,Debit Card,,,
T000124,Lawrence Ross,joseph59@yahoo.com,Keyboard,Electronics,10.00,$567.05,5670.50,2/20/2024,Birmingham,Debit Card,,,
T000125,Tina Carter,williambenson@yahoo.com,Tablet,Electronics,9.00,$947.32,8525.88,8/19/2023,Liverpool,Credit Card,,,
T000126,Erik Mann,ilee@yahoo.com,Smartphone,Electronics,6.00,$279.74,1678.44,12/2/2024,Birmingham,Debit Card,,,
T000127,Gary Underwood DDS,harveythomas@johnson-mason.org,Headphones,Accessories,6.00,$640.77,3844.62,11/19/2023,Liverpool,Credit Card,,,
T000128,Joseph Bullock,bmitchell@harris-quinn.net,Tablet,Accessories,7.00,$399.71,2797.97,10/18/2024,Edinburgh,Credit Card,,,
T000129,Jacqueline Rose,tthomas@doyle.org,Headphones,Electronics,6.00,$378.75,2272.50,9/13/2024,Manchester,Online Payment,,,
T000130,Jon Collier,anna07@hotmail.com,Keyboard,Electronics,10.00,$292.58,2925.80,11/1/2024,Edinburgh,Credit Card,,,
T000131,Mrs. Megan Kelley,juliethomas@mendez-barton.com,Laptop,Electronics,5.00,$607.41,3037.05,10/18/2024,London,Credit Card,,,
T000132,Jennifer Powell,nhall@griffin.biz,Monitor,Electronics,8.00,$423.42,3387.36,8/15/2024,Manchester,Cash,,,
T000133,Donald Thomas,blackdiana@hotmail.com,Headphones,Accessories,1.00,$408.30,408.30,4/29/2024,Manchester,Cash,,,
T000134,Vanessa Dominguez,rileyrachel@yahoo.com,Headphones,Electronics,5.00,$960.15,4800.75,5/27/2024,Edinburgh,Online Payment,,,
T000135,Emily Le,awatson@ramos.com,Laptop,Accessories,9.00,$294.05,2646.45,5/14/2023,Birmingham,Debit Card,,,
T000136,Keith Melton,sherylferguson@yahoo.com,Laptop,Electronics,9.00,$419.22,3772.98,10/18/2024,Edinburgh,Credit Card,,,
T000137,Joseph Henderson,michaeldaniel@gmail.com,Headphones,Accessories,3.00,$837.79,2513.37,12/24/2024,Liverpool,Cash,,,
T000138,Zachary Bowman,blong@hotmail.com,Keyboard,Accessories,8.00,$744.36,5954.88,1/22/2024,Edinburgh,Credit Card,,,
T000139,Ricky Matthews,wendykeith@hotmail.com,Smartphone,Accessories,9.00,$668.24,6014.16,1/8/2024,Liverpool,Debit Card,,,
T000140,Bobby Cabrera,elizabethrodriguez@yahoo.com,Tablet,Electronics,10.00,$289.72,2897.20,3/30/2024,Edinburgh,Cash,,,
T000141,Megan Fisher,rogercollins@yahoo.com,Monitor,Electronics,5.00,$309.55,1547.75,11/6/2023,London,Debit Card,,,
T000142,Hannah Curtis,andrewslisa@gmail.com,Monitor,Electronics,8.00,$984.96,7879.68,10/6/2023,London,Online Payment,,,
T000143,Dana Hill,timothy96@graves.biz,Headphones,Accessories,10.00,$61.50,615.00,12/13/2024,Birmingham,Cash,,,
T000144,Tracy Johnson,julie37@allen.com,Tablet,Accessories,1.00,$613.02,613.02,9/13/2023,Birmingham,Debit Card,,,
T000145,Michele Barton,robinsonrobert@hotmail.com,Monitor,Electronics,5.00,$258.86,1294.30,5/6/2023,Birmingham,Cash,,,
T000146,Christine Cohen,jo98@white.com,Mouse,Accessories,4.00,$732.64,2930.56,3/10/2023,Liverpool,Cash,,,
T000147,Nancy Richardson,vpark@brown.net,Headphones,Electronics,8.00,$228.82,1830.56,5/1/2024,London,Debit Card,,,
T000148,Thomas Chaney,miguelhenry@yahoo.com,Mouse,Accessories,10.00,$176.23,1762.30,6/10/2024,London,Credit Card,,,
T000149,Juan Ellis,hjohnson@stone.com,Laptop,Accessories,3.00,$972.47,2917.41,7/18/2024,London,Debit Card,,,
T000150,Shane Miller,grimesdiana@gmail.com,Smartphone,Accessories,10.00,$474.47,4744.70,7/6/2024,Manchester,Cash,,,
T000151,Brandon Walker,coltonnewman@hotmail.com,Mouse,Accessories,2.00,$742.36,1484.72,5/19/2023,Birmingham,Debit Card,,,
T000152,Robert Friedman,oberger@gmail.com,Mouse,Accessories,10.00,$378.80,3788.00,7/29/2023,Liverpool,Cash,,,
T000153,Shannon Thompson,hneal@gmail.com,Tablet,Electronics,5.00,$327.99,1639.95,5/15/2023,Manchester,Online Payment,,,
T000154,Gary Suarez,danielmartin@gmail.com,Smartphone,Accessories,5.00,$590.58,2952.90,6/26/2024,Edinburgh,Credit Card,,,
T000155,Tiffany Yu,chavezkimberly@gmail.com,Keyboard,Electronics,6.00,$540.51,3243.06,9/7/2023,Birmingham,Credit Card,,,
T000156,Manuel Moody,paulalvarez@gmail.com,Laptop,Accessories,5.00,$416.52,2082.60,6/28/2024,Manchester,Online Payment,,,
T000157,Lindsey Armstrong,andersonvanessa@clark-cooper.com,Monitor,Electronics,8.00,$322.15,2577.20,6/19/2023,Birmingham,Credit Card,,,
T000158,Kara Burton,mollymckenzie@garcia.info,Headphones,Electronics,8.00,$898.68,7189.44,9/10/2023,Manchester,Cash,,,
T000159,Steven Sexton,lauren24@yahoo.com,Tablet,Electronics,2.00,$344.85,689.70,5/21/2023,Manchester,Cash,,,
T000160,Lauren Ayala,howard05@hotmail.com,Laptop,Accessories,3.00,$380.05,1140.15,3/13/2024,Liverpool,Debit Card,,,
T000161,Jacqueline Bauer,brandonpowell@hotmail.com,Laptop,Accessories,4.00,$749.84,2999.36,9/8/2024,London,Debit Card,,,
T000162,Alicia Bishop,zgarrett@flores.com,Mouse,Accessories,5.00,$149.65,748.25,12/12/2024,Manchester,Online Payment,,,
T000163,Daniel Johnson MD,rubendavis@gmail.com,Laptop,Accessories,6.00,$339.70,2038.20,3/9/2023,Edinburgh,Debit Card,,,
T000164,John Griffin,morriskimberly@hardy.com,Mouse,Accessories,8.00,$671.06,5368.48,10/25/2024,Birmingham,Cash,,,
T000165,Sara Medina,christopherlane@edwards-little.com,Laptop,Electronics,3.00,$245.73,737.19,5/27/2023,Liverpool,Online Payment,,,
T000166,Brian Sanchez MD,tstevenson@ward.net,Mouse,Electronics,5.00,$534.89,2674.45,5/23/2024,Birmingham,Credit Card,,,
T000167,Christine Bennett,anne43@gmail.com,Laptop,Electronics,5.00,$519.46,2597.30,6/22/2023,London,Credit Card,,,
T000168,Krista Madden,courtneycaldwell@edwards.org,Mouse,Electronics,5.00,$165.84,829.20,3/26/2024,London,Credit Card,,,
T000169,Dustin Miller,kristie59@long-fuentes.com,Keyboard,Electronics,10.00,$636.04,6360.40,9/16/2023,London,Cash,,,
T000170,Mrs. Kristine Coleman,lstone@moore.org,Mouse,Electronics,10.00,$31.02,310.20,5/9/2024,Edinburgh,Debit Card,,,
T000171,Nathan Barnett,haynesseth@hotmail.com,Laptop,Electronics,10.00,$606.88,6068.80,11/2/2023,London,Online Payment,,,
T000172,Mario Cunningham,qweaver@hotmail.com,Mouse,Electronics,9.00,$533.59,4802.31,5/17/2023,Edinburgh,Cash,,,
T000173,Jason Watson,ray93@warner-henry.com,Smartphone,Electronics,5.00,$837.01,4185.05,12/26/2024,Manchester,Debit Card,,,
T000174,Russell French,floydmolly@hotmail.com,Headphones,Accessories,8.00,$417.80,3342.40,12/14/2024,Edinburgh,Credit Card,,,
T000175,Susan Henderson,veronica86@yahoo.com,Mouse,Electronics,7.00,$431.53,3020.71,5/7/2024,London,Cash,,,
T000176,Julie Reed,rdavenport@yahoo.com,Headphones,Electronics,6.00,$94.20,565.20,3/25/2023,Birmingham,Cash,,,
T000177,Allison Norman,taylorkathleen@tucker.com,Smartphone,Electronics,8.00,$729.25,5834.00,12/20/2023,Liverpool,Debit Card,,,
T000178,Michael Jones,karla09@allen-wolfe.biz,Laptop,Accessories,9.00,$519.29,4673.61,6/21/2023,London,Debit Card,,,
T000179,Ashley Mitchell,omartin@cook-taylor.com,Monitor,Accessories,9.00,$677.96,6101.64,4/15/2023,Liverpool,Debit Card,,,
T000180,Aaron Williams,jaclynkennedy@miller-ross.com,Tablet,Electronics,9.00,$554.23,4988.07,8/26/2023,London,Debit Card,,,
T000181,Jessica Williams,loganjoseph@hotmail.com,Smartphone,Accessories,5.00,$447.13,2235.65,1/20/2024,Manchester,Credit Card,,,
T000182,Samantha Garza,markfrank@yahoo.com,Laptop,Electronics,10.00,$625.49,6254.90,7/24/2023,Liverpool,Credit Card,,,
T000183,Bobby Sherman,adamsmegan@hotmail.com,Headphones,Electronics,6.00,$439.66,2637.96,10/25/2024,Liverpool,Debit Card,,,
T000184,Johnny Gutierrez,rosariomason@lambert.com,Monitor,Accessories,9.00,$158.11,1422.99,7/3/2024,Edinburgh,Debit Card,,,
T000185,Carmen Johnson,jenniferbrown@gmail.com,Tablet,Electronics,2.00,$717.87,1435.74,8/31/2023,Birmingham,Credit Card,,,
T000186,Andrew Tate,diana43@maynard-hutchinson.org,Headphones,Accessories,8.00,$737.39,5899.12,4/7/2024,Liverpool,Cash,,,
T000187,Julie Mathis,vickiewallace@gmail.com,Monitor,Electronics,3.00,$71.43,214.29,4/16/2024,London,Online Payment,,,
T000188,Bobby Zimmerman,kgarrett@yahoo.com,Smartphone,Electronics,10.00,$923.59,9235.90,5/5/2023,London,Cash,,,
T000189,Renee Moses,beth51@hotmail.com,Mouse,Electronics,6.00,$325.65,1953.90,12/1/2024,Manchester,Debit Card,,,
T000190,Justin Rodgers,gwendolyngonzalez@yahoo.com,Headphones,Electronics,7.00,$192.89,1350.23,4/22/2024,Manchester,Debit Card,,,
T000191,Katie Chase,kimberlydixon@clements.net,Monitor,Electronics,3.00,$647.35,1942.05,4/14/2023,Manchester,Cash,,,
T000192,John Burns,samuelmartinez@hotmail.com,Keyboard,Electronics,6.00,$621.65,3729.90,10/27/2024,Birmingham,Online Payment,,,
T000193,Madison Perez,bharris@yahoo.com,Smartphone,Electronics,1.00,$265.89,265.89,10/24/2023,London,Cash,,,
T000194,Rhonda Cook,jo03@hotmail.com,Monitor,Electronics,5.00,$210.79,1053.95,10/22/2024,Manchester,Debit Card,,,
T000195,Kevin Castillo,wburns@gmail.com,Mouse,Electronics,8.00,$699.16,5593.28,12/10/2024,Liverpool,Credit Card,,,
T000196,Michele Brooks,brittneyyoung@smith-brewer.com,Smartphone,Electronics,7.00,$93.76,656.32,8/6/2024,London,Debit Card,,,
